corso_codice,corso_descrizione,campus,ambiti,tipologia,lingue
5941,Compositi polimerici,Bologna,Ingegneria e architettura,Laurea,it
5943,Service Management,Rimini,Economia e management,Laurea Magistrale,en
5944,Business Administration and Sustainability,Forlì,"Economia e management, Scienze agro-alimentari",Laurea Magistrale,en
5945,Economics and Public Policy,Bologna,Economia e management,Laurea Magistrale,en
5946,"Dati, metodi e modelli per le scienze linguistiche",Bologna,Studi umanistici,Laurea Magistrale,it
5948,Biotecnologie agrarie vegetali,Bologna,Scienze agro-alimentari,Laurea Magistrale,it
5949,International Studies,Forlì,Scienze politiche,Laurea,en
5961,Psicologia scolastica e di comunità,Cesena,Psicologia,Laurea Magistrale,it
5962,Psicologia clinica,Cesena,Psicologia,Laurea Magistrale,it
5963,Scienze e tecniche psicologiche,Cesena,Psicologia,Laurea,it
5964,Neuroscienze e riabilitazione neuropsicologica,Cesena,Psicologia,Laurea Magistrale,it
5965,Psicologia cognitiva applicata,Bologna,Psicologia,Laurea Magistrale,it
5966,Psychology of Wellbeing and Social Inclusivity,Bologna,Psicologia,Laurea Magistrale,en
5967,"Work, Organizational and Personnel Psychology",Cesena,Psicologia,Laurea Magistrale,en
5969,Applied Economics and Markets,Bologna,Economia e management,Laurea Magistrale,en
5974,"Storia, società e culture del Mediterraneo",Ravenna,Studi umanistici,Laurea,it
5975,Scienze della comunicazione,Bologna,Studi umanistici,Laurea,it
5976,Biotecnologie,Bologna,Farmacia e biotecnologie,Laurea,it
5977,Economics and Econometrics,Bologna,Economia e management,Laurea Magistrale,en
5978,Ingegneria energetica,Bologna,Ingegneria e architettura,Laurea Magistrale,it
5979,Lingue e tecnologie per la comunicazione interculturale,Forlì,"Lingue e Letterature, Traduzione e Interpretazione",Laurea,it
5980,Mechanical Engineering for Sustainability,Forlì,Ingegneria e architettura,Laurea Magistrale,en
5981,"Economia, consulenza e professioni",Bologna,Economia e management,Laurea Magistrale,it
5982,Scienze biologiche,Bologna,Scienze,Laurea,it
5983,European Studies,Bologna,Scienze politiche,Laurea,en
5984,Medicina veterinaria,Bologna,Medicina veterinaria,Laurea Magistrale a ciclo unico,it
5985,Farmacia,Bologna,Farmacia e biotecnologie,Laurea Magistrale a ciclo unico,it
5986,Chimica e tecnologia farmaceutiche,Bologna,Farmacia e biotecnologie,Laurea Magistrale a ciclo unico,it
5987,Pharmacy,Rimini,Farmacia e biotecnologie,Laurea Magistrale a ciclo unico,en
5988,Odontoiatria e protesi dentaria,Bologna,Medicina e Chirurgia,Laurea Magistrale a ciclo unico,it
6006,Metodologie chimiche per prodotti e processi,Bologna,Scienze,Laurea,it
6007,Tecnologie dei sistemi informatici,Cesena,Ingegneria e architettura,Laurea,it
6008,Tecniche per l'edilizia e il territorio,Bologna,Ingegneria e architettura,Laurea,it
6009,Meccatronica,Bologna,Ingegneria e architettura,Laurea,it
8004,Astronomia,Bologna,Scienze,Laurea,it
8005,Biotecnologie,Bologna,Farmacia e biotecnologie,Laurea,it
8006,Chimica e chimica dei materiali,Bologna,Scienze,Laurea,it
8009,Informatica,Bologna,Scienze,Laurea,it
8010,Matematica,Bologna,Scienze,Laurea,it
8011,Scienze ambientali,Ravenna,Scienze,Laurea,it
8012,Scienze biologiche,Bologna,Scienze,Laurea,it
8014,Informatica per il management,Bologna,Scienze,Laurea,it
8015,Scienze geologiche,Bologna,Scienze,Laurea,it
8020,Bioinformatics,Bologna,Farmacia e biotecnologie,Laurea Magistrale,en
8038,"Economia, mercati e istituzioni",Bologna,Economia e management,Laurea,it
8040,Servizio sociale,Bologna,Sociologia,Laurea,it
8048,Scienze internazionali e diplomatiche,Forlì,Scienze politiche,Laurea,it
8059,Mediazione linguistica interculturale,Forlì,"Lingue e Letterature, Traduzione e Interpretazione",Laurea,it
8060,Interpretazione,Forlì,"Lingue e Letterature, Traduzione e Interpretazione",Laurea Magistrale,it
8182,Design del prodotto industriale,Bologna,Ingegneria e architettura,Laurea,it
8204,Odontoiatria e protesi dentaria,Bologna,Medicina e Chirurgia,Laurea Magistrale a ciclo unico,it
8406,Management e marketing,Bologna,Economia e management,Laurea,it
8408,Economics,Bologna,Economia e management,Laurea Magistrale,en
8412,Chimica e tecnologia farmaceutiche,Bologna,Farmacia e biotecnologie,Laurea Magistrale a ciclo unico,it
8415,Medicina e chirurgia,Bologna,Medicina e Chirurgia,Laurea Magistrale a ciclo unico,it
8420,Economia e politica economica,Bologna,Economia e management,Laurea Magistrale,it en
8470,Dietistica (abilitante alla professione sanitaria di dietista),Bologna,Medicina e Chirurgia,Laurea,it
8473,Infermieristica (abilitante alla professione sanitaria di infermiere),Bologna,Medicina e Chirurgia,Laurea,it
8474,Infermieristica (abilitante alla professione sanitaria di infermiere),Ravenna,Medicina e Chirurgia,Laurea,it
8475,Infermieristica (abilitante alla professione sanitaria di infermiere),Rimini,Medicina e Chirurgia,Laurea,it
8476,Fisioterapia (abilitante alla professione sanitaria di fisioterapista),Bologna,Medicina e Chirurgia,Laurea,it
8477,Educazione professionale (abilitante alla professione sanitaria di educatore professionale),Bologna,Medicina e Chirurgia,Laurea,it
8479,Podologia (abilitante alla professione sanitaria di podologo),Bologna,Medicina e Chirurgia,Laurea,it
8481,Igiene dentale (abilitante alla professione sanitaria di igienista dentale),Bologna,Medicina e Chirurgia,Laurea,it
8482,Tecniche di neurofisiopatologia (abilitante alla professione sanitaria di tecnico di neurofisiopatologia),Bologna,Medicina e Chirurgia,Laurea,it
8483,Tecniche ortopediche (abilitante alla professione sanitaria di tecnico ortopedico),Bologna,Medicina e Chirurgia,Laurea,it
8484,Tecniche di laboratorio biomedico (abilitante alla professione sanitaria di tecnico di laboratorio biomedico),Bologna,Medicina e Chirurgia,Laurea,it
8487,Tecniche della prevenzione nell'ambiente e nei luoghi di lavoro (abilitante alla professione sanitaria di tecnico della prevenzione nell'ambiente e nei luoghi di lavoro),Bologna,Medicina e Chirurgia,Laurea,it
8488,Scienze infermieristiche e ostetriche,Bologna,Medicina e Chirurgia,Laurea Magistrale,it
8491,Scienze criminologiche per l'investigazione e la sicurezza,Forlì,Sociologia,Laurea Magistrale,it
8493,"Antropologia, religioni, civiltà orientali",Bologna,Studi umanistici,Laurea,it
8495,Sociologia,Forlì,Sociologia,Laurea,it
8512,Scienze delle attività motorie e sportive,Bologna,Scienze motorie,Laurea,it
8513,Chimica industriale,Bologna,Scienze,Laurea,it
8514,Chimica e tecnologie per l'ambiente e per i materiali,Rimini,Scienze,Laurea,it
8515,Chimica e tecnologie per l'ambiente e per i materiali,Ravenna,Scienze,Laurea,it
8518,Scienze farmaceutiche applicate,Bologna,Farmacia e biotecnologie,Laurea,it
8522,Biotecnologie animali,Bologna,Medicina veterinaria,Laurea Magistrale,it
