annoaccademico,immatricolabile,corso_codice,corso_descrizione,url,campus,sededidattica,ambiti,tipologia,durata,internazionale,internazionale_titolo,internazionale_lingua,lingue,accesso
2023/2024,True,8009,Informatica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8009,Bologna,Bologna,Scienze,Laurea,3,False,,,it,numero chiuso
2023/2024,True,8010,Matematica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8010,Bologna,Bologna,Scienze,Laurea,3,False,,,it,numero chiuso
2023/2024,True,8011,Scienze ambientali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8011,Ravenna,Ravenna,Scienze,Laurea,3,False,,,it,libero
2023/2024,False,8012,Scienze biologiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8012,Bologna,Bologna,Scienze,Laurea,3,False,,,it,numero chiuso
2023/2024,True,8014,Informatica per il management,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8014,Bologna,Bologna,Scienze,Laurea,3,False,,,it,numero chiuso
2023/2024,True,8015,Scienze geologiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8015,Bologna,Bologna,Scienze,Laurea,3,False,,,it,libero
2023/2024,True,8020,Bioinformatics,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8020,Bologna,Bologna,Farmacia e biotecnologie,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,libero
2023/2024,True,8038,"Economia, mercati e istituzioni",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8038,Bologna,Bologna,Economia e management,Laurea,3,False,,,it,numero chiuso
2023/2024,True,8040,Servizio sociale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8040,Bologna,Bologna,Sociologia,Laurea,3,False,,,it,numero chiuso
2023/2024,True,8048,Scienze internazionali e diplomatiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8048,Forlì,Forlì,Scienze politiche,Laurea,3,False,,,it,numero chiuso
2023/2024,False,8059,Mediazione linguistica interculturale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8059,Forlì,Forlì,"Lingue e Letterature, Traduzione e Interpretazione",Laurea,3,True,Titolo multiplo,,it,numero chiuso
2023/2024,True,8060,Interpretazione,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8060,Forlì,Forlì,"Lingue e Letterature, Traduzione e Interpretazione",Laurea Magistrale,2,False,,,it,numero chiuso
2023/2024,True,8182,Design del prodotto industriale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8182,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,it,numero chiuso
2023/2024,False,8204,Odontoiatria e protesi dentaria,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8204,Bologna,Bologna,Medicina e Chirurgia,Laurea Magistrale a ciclo unico,6,False,,,it,numero programmato nazionale
2023/2024,True,8406,Management e marketing,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8406,Bologna,Bologna,Economia e management,Laurea,3,False,,,it,numero chiuso
2023/2024,False,8408,Economics,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8408,Bologna,Bologna,Economia e management,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,libero
2023/2024,False,8412,Chimica e tecnologia farmaceutiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8412,Bologna,Bologna,Farmacia e biotecnologie,Laurea Magistrale a ciclo unico,5,False,,,it,numero chiuso
2023/2024,False,8415,Medicina e chirurgia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8415,Bologna,Bologna,Medicina e Chirurgia,Laurea Magistrale a ciclo unico,6,False,,,it,numero programmato nazionale
2023/2024,False,8420,Economia e politica economica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8420,Bologna,Bologna,Economia e management,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),it en,libero
2023/2024,True,8470,Dietistica (abilitante alla professione sanitaria di dietista),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8470,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,it,numero programmato nazionale con prova locale
2023/2024,False,8473,Infermieristica (abilitante alla professione sanitaria di infermiere),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8473,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,it,numero programmato nazionale con prova locale
2023/2024,False,8474,Infermieristica (abilitante alla professione sanitaria di infermiere),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8474,Ravenna,Faenza,Medicina e Chirurgia,Laurea,3,False,,,it,numero programmato nazionale con prova locale
2023/2024,True,8475,Infermieristica (abilitante alla professione sanitaria di infermiere),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8475,Rimini,Rimini,Medicina e Chirurgia,Laurea,3,False,,,it,numero programmato nazionale con prova locale
2023/2024,True,8476,Fisioterapia (abilitante alla professione sanitaria di fisioterapista),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8476,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,it,numero programmato nazionale con prova locale
2023/2024,True,8477,Educazione professionale (abilitante alla professione sanitaria di educatore professionale),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8477,Bologna,Imola,Medicina e Chirurgia,Laurea,3,False,,,it,numero programmato nazionale con prova locale
2023/2024,True,8479,Podologia (abilitante alla professione sanitaria di podologo),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8479,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,it,numero programmato nazionale con prova locale
2023/2024,True,8481,Igiene dentale (abilitante alla professione sanitaria di igienista dentale),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8481,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,it,numero programmato nazionale con prova locale
2023/2024,True,8482,Tecniche di neurofisiopatologia (abilitante alla professione sanitaria di tecnico di neurofisiopatologia),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8482,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,it,numero programmato nazionale con prova locale
2023/2024,False,8483,Tecniche ortopediche (abilitante alla professione sanitaria di tecnico ortopedico),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8483,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,it,numero programmato nazionale con prova locale
2023/2024,True,8484,Tecniche di laboratorio biomedico (abilitante alla professione sanitaria di tecnico di laboratorio biomedico),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8484,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,it,numero programmato nazionale con prova locale
2023/2024,True,8487,Tecniche della prevenzione nell'ambiente e nei luoghi di lavoro (abilitante alla professione sanitaria di tecnico della prevenzione nell'ambiente e nei luoghi di lavoro),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8487,Bologna,Imola,Medicina e Chirurgia,Laurea,3,False,,,it,numero programmato nazionale con prova locale
2023/2024,True,8488,Scienze infermieristiche e ostetriche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8488,Bologna,Bologna,Medicina e Chirurgia,Laurea Magistrale,2,False,,,it,numero programmato nazionale con prova locale
2023/2024,True,8491,Scienze criminologiche per l'investigazione e la sicurezza,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8491,Forlì,Forlì,Sociologia,Laurea Magistrale,2,False,,,it,libero
2023/2024,True,8493,"Antropologia, religioni, civiltà orientali",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8493,Bologna,Bologna,Studi umanistici,Laurea,3,False,,,it,libero
2023/2024,True,8495,Sociologia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8495,Forlì,Forlì,Sociologia,Laurea,3,False,,,it,libero
2023/2024,True,8512,Scienze delle attività motorie e sportive,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8512,Bologna,Bologna,Scienze motorie,Laurea,3,False,,,it,numero chiuso
2023/2024,True,8513,Chimica industriale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8513,Bologna,Bologna,Scienze,Laurea,3,False,,,it,numero chiuso
2023/2024,True,8514,Chimica e tecnologie per l'ambiente e per i materiali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8514,Rimini,Rimini,Scienze,Laurea,3,False,,,it,libero
2023/2024,True,8515,Chimica e tecnologie per l'ambiente e per i materiali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8515,Ravenna,Faenza,Scienze,Laurea,3,False,,,it,libero
2023/2024,True,8518,Scienze farmaceutiche applicate,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8518,Bologna,Imola,Farmacia e biotecnologie,Laurea,3,False,,,it,numero chiuso
2023/2024,True,8522,Biotecnologie animali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8522,Bologna,Ozzano dell'Emilia,Medicina veterinaria,Laurea Magistrale,2,False,,,it,libero
2023/2024,True,8527,Viticoltura ed enologia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8527,Cesena,Cesena,Scienze agro-alimentari,Laurea,3,False,,,it,libero
2023/2024,True,8528,Tecnologie alimentari,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8528,Cesena,Cesena,Scienze agro-alimentari,Laurea,3,False,,,it,libero
2023/2024,True,8531,Scienze e tecnologie alimentari,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8531,Cesena,Cesena,Scienze agro-alimentari,Laurea Magistrale,2,False,,,it,libero
2023/2024,True,8532,"Progettazione e gestione degli ecosistemi agro-territoriali, forestali e del paesaggio",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8532,Bologna,Bologna,Scienze agro-alimentari,Laurea Magistrale,2,False,,,it,libero
2023/2024,True,8537,Science for the Conservation-Restoration of Cultural Heritage,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8537,Ravenna,Ravenna,Scienze,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,libero
2023/2024,False,8540,Scienze della formazione primaria,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8540,Bologna,Bologna,Scienze dell’educazione e della formazione,Laurea Magistrale a ciclo unico,5,False,,,it,numero chiuso
2023/2024,True,8614,Ingegneria e scienze informatiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8614,Cesena,Cesena,"Ingegneria e architettura, Scienze",Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),it en,libero
2023/2024,True,8615,Ingegneria e scienze informatiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8615,Cesena,Cesena,"Ingegneria e architettura, Scienze",Laurea,3,False,,,it,numero chiuso
2023/2024,True,8616,Conservazione e restauro dei beni culturali (abilitante ai sensi del d. lgs n. 42/2004),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8616,Ravenna,Ravenna,Studi umanistici,Laurea Magistrale a ciclo unico,5,False,,,it,numero programmato nazionale con prova locale
2023/2024,False,8617,Medicina veterinaria,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8617,Bologna,Ozzano dell'Emilia,Medicina veterinaria,Laurea Magistrale a ciclo unico,5,False,,,it,numero programmato nazionale
2023/2024,True,8626,Fisica del sistema Terra,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8626,Bologna,Bologna,Scienze,Laurea Magistrale,2,False,,,it,libero
2023/2024,True,8766,Scienze delle attività motorie e sportive,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8766,Rimini,Rimini,Scienze motorie,Laurea,3,False,,,it,numero chiuso
2023/2024,True,8770,Ingegneria elettronica e telecomunicazioni per l'energia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8770,Cesena,Cesena,Ingegneria e architettura,Laurea Magistrale,2,False,,,it,libero
2023/2024,False,8771,Ingegneria meccanica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8771,Forlì,Forlì,Ingegneria e architettura,Laurea Magistrale,2,False,,,it,numero chiuso
2023/2024,True,8773,Scienze filosofiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8773,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,True,Titolo multiplo,,it,libero
2023/2024,False,8774,Scienze e tecniche psicologiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/8774,Cesena,Cesena,Psicologia,Laurea,3,False,,,it,numero chiuso
