annoaccademico,immatricolabile,corso_codice,corso_descrizione,url,campus,sededidattica,ambiti,tipologia,durata,internazionale,internazionale_titolo,internazionale_lingua,lingue,accesso
2023/2024,True,9073,Geologia e territorio,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9073,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),it en,libero
2023/2024,True,9074,Photochemistry and Molecular Materials,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9074,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,libero
2023/2024,True,9076,Beni culturali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9076,Ravenna,Ravenna,Studi umanistici,Laurea,3,False,,,it,libero
2023/2024,True,9077,Scienze del libro e del documento,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9077,Ravenna,Ravenna,Studi umanistici,Laurea Magistrale,2,False,,,it,libero
2023/2024,False,9078,Pharmacy,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9078,Rimini,Rimini,Farmacia e biotecnologie,Laurea Magistrale a ciclo unico,5,True,,Erogato in lingua straniera,en,numero chiuso
2023/2024,True,9079,"Tecniche di radiologia medica, per immagini e radioterapia (abilitante alla professione sanitaria di tecnico di radiologia medica)",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9079,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,it,numero programmato nazionale con prova locale
2023/2024,True,9080,Logopedia (abilitante alla professione sanitaria di logopedista),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9080,Ravenna,Faenza,Medicina e Chirurgia,Laurea,3,False,,,it,numero programmato nazionale con prova locale
2023/2024,True,9081,Medical Biotechnology,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9081,Bologna,Bologna,Medicina e Chirurgia,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,libero
2023/2024,True,9082,Ingegneria biomedica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9082,Cesena,Cesena,Ingegneria e architettura,Laurea,3,False,,,it,numero chiuso
2023/2024,True,9083,Educatore nei servizi per l'infanzia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9083,Bologna,Bologna,Scienze dell’educazione e della formazione,Laurea,3,False,,,it,numero chiuso
2023/2024,True,9084,International Relations,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9084,Bologna,Bologna,Scienze politiche,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,numero chiuso
2023/2024,True,9085,"Politica, amministrazione e organizzazione",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9085,Bologna,Bologna,Scienze politiche,Laurea Magistrale,2,True,Titolo multiplo (solo alcuni curricula),Erogato in lingua straniera (solo alcuni curricula),it en,numero chiuso
2023/2024,True,9140,Food Safety and Food Risk Management,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9140,,"Parma, Bologna, Reggio Emilia, Piacenza, Modena",Scienze agro-alimentari,Laurea Magistrale,2,True,Titolo congiunto,Erogato in lingua straniera,en,libero
2023/2024,True,9174,Specialized translation,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9174,Forlì,Forlì,"Lingue e Letterature, Traduzione e Interpretazione",Laurea Magistrale,2,True,Titolo multiplo (solo alcuni curricula),Erogato in lingua straniera,en,numero chiuso
2023/2024,True,9198,Ingegneria per l'ambiente e il territorio,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9198,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,it,libero
2023/2024,False,9199,Ingegneria edile,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9199,Ravenna,Ravenna,Ingegneria e architettura,Laurea,3,False,,,it,numero chiuso
2023/2024,True,9201,Ostetricia (abilitante alla professione sanitaria di ostetrica/o),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9201,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,it,numero programmato nazionale con prova locale
